wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.997002 
wtf? newest:  220339752, out: 2, eta: 1.000000,  updateval: 0.997002 
wtf? newest:  219611688, out: 2, eta: 1.000000,  updateval: 0.997002 
wtf? newest:  104, out: 8, eta: 1.991900,  updateval: 0.426596 
wtf? newest:  8, out: 220382688, eta: -0.008100,  updateval: 1.522309 
wtf? newest:  219575008, out: 2, eta: 1.973000,  updateval: 0.351330 
wtf? newest:  219603680, out: 3, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219611872, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  2, out: 219571680, eta: -0.027000,  updateval: 1.486499 
wtf? newest:  113, out: 8, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220440264, out: 1, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  113, out: 12, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220201672, out: 2, eta: 1.000000,  updateval: 0.973000 
wtf? newest:  220422856, out: 2, eta: 1.973000,  updateval: 0.347361 
wtf? newest:  2, out: 220419552, eta: -0.027000,  updateval: 1.485308 
wtf? newest:  219695192, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219703384, out: 1, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  1, out: 219700704, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  219529256, out: 2, eta: 1.254820,  updateval: 0.700000 
wtf? newest:  13, out: 226406656, eta: 1.254820,  updateval: 0.700000 
wtf? newest:  219556904, out: 2, eta: 1.954820,  updateval: -0.490000 
wtf? newest:  2, out: 219553248, eta: -0.554820,  updateval: 1.221374 
wtf? newest:  219483416, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219501848, out: 2, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  219538712, out: 2, eta: 1.700000,  updateval: -0.490000 
wtf? newest:  2, out: 219534816, eta: -0.300000,  updateval: 1.043000 
wtf? newest:  220063072, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220016992, out: 1, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  1, out: 220014048, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220212576, out: 3, eta: 1.999271,  updateval: 0.458384 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.997570 
wtf? newest:  3, out: 220207584, eta: -0.000729,  updateval: 1.537005 
wtf? newest:  220026424, out: 2, eta: 1.910000,  updateval: 0.147000 
wtf? newest:  220016184, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  2, out: 220023264, eta: -0.090000,  updateval: 1.381100 
wtf? newest:  34, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219740848, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219737568, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  219870528, out: 2, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  219897152, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219906368, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219866592, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220329664, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  100, out: 8, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  220313280, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219611840, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  100, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220377792, out: 3, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  100, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  8, out: 220318176, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220377640, out: 3, eta: 1.999101,  updateval: 0.457642 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.991900 
wtf? newest:  220248616, out: 3, eta: 1.000000,  updateval: 0.991900 
